시도,시군구,발생년도,2014년,2014년,2015년,2015년,2016년,2016년,2017년,2017년,2018년,2018년
시도,시군구,발생년도,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상
서울,종로구,사고건수,89,40,128,51,102,61,103,77,128,77
서울,종로구,사망자수,1,0,0,0,2,0,1,3,0,0
서울,종로구,부상자수,119,45,165,57,141,73,150,126,176,119
서울,중구,사고건수,98,49,123,57,110,76,116,54,123,85
서울,중구,사망자수,0,0,4,0,2,0,1,0,1,2
서울,중구,부상자수,138,63,150,70,155,95,163,75,161,115
서울,용산구,사고건수,110,45,129,54,116,49,109,85,123,108
서울,용산구,사망자수,0,0,3,2,0,0,0,0,0,1
서울,용산구,부상자수,155,61,157,70,174,61,154,131,167,130
서울,성동구,사고건수,68,45,68,41,83,46,92,44,104,50
서울,성동구,사망자수,1,1,0,0,1,0,2,3,0,1
서울,성동구,부상자수,101,67,93,64,131,64,129,79,159,64
서울,동대문구,사고건수,127,65,145,94,146,117,146,108,146,121
서울,동대문구,사망자수,0,2,1,0,2,1,4,1,1,0
서울,동대문구,부상자수,166,86,199,113,194,150,180,128,189,145
서울,성북구,사고건수,120,56,114,91,117,60,139,90,142,101
서울,성북구,사망자수,1,0,2,1,2,0,5,2,4,0
서울,성북구,부상자수,175,69,154,127,147,90,192,127,216,162
서울,도봉구,사고건수,65,34,60,45,72,38,86,55,73,74
서울,도봉구,사망자수,1,0,1,0,1,0,1,0,2,0
서울,도봉구,부상자수,86,38,94,59,105,52,112,79,88,92
서울,은평구,사고건수,93,48,87,54,92,57,92,73,115,78
서울,은평구,사망자수,0,0,2,1,1,3,1,2,1,1
서울,은평구,부상자수,114,77,115,70,127,72,136,112,149,102
서울,서대문구,사고건수,75,43,70,33,103,51,94,69,96,81
서울,서대문구,사망자수,2,0,0,1,0,2,0,1,1,0
서울,서대문구,부상자수,89,56,89,41,131,69,136,96,126,102
서울,마포구,사고건수,104,40,103,55,134,58,138,79,160,86
서울,마포구,사망자수,1,0,1,0,0,0,0,0,1,0
서울,마포구,부상자수,138,53,146,67,207,77,200,105,233,133
서울,강서구,사고건수,122,59,117,51,127,56,117,76,116,65
서울,강서구,사망자수,3,3,1,0,1,1,2,1,1,1
서울,강서구,부상자수,190,79,154,65,167,63,142,105,185,95
서울,구로구,사고건수,98,51,88,45,105,41,115,46,135,74
서울,구로구,사망자수,3,2,3,1,1,1,0,0,2,0
서울,구로구,부상자수,149,67,122,57,145,50,169,58,176,91
서울,영등포구,사고건수,126,80,164,103,150,98,205,108,224,130
서울,영등포구,사망자수,3,0,2,5,1,1,1,0,3,0
서울,영등포구,부상자수,165,102,250,120,211,135,269,142,297,173
서울,동작구,사고건수,90,42,92,49,107,63,111,66,114,80
서울,동작구,사망자수,1,0,2,1,1,3,3,3,1,2
서울,동작구,부상자수,125,65,132,79,150,101,162,95,162,94
서울,관악구,사고건수,93,56,101,56,104,56,110,46,101,68
서울,관악구,사망자수,2,1,0,0,1,0,0,1,1,0
서울,관악구,부상자수,130,76,139,70,144,88,153,58,124,91
서울,강남구,사고건수,208,88,209,118,267,111,276,132,314,190
서울,강남구,사망자수,2,1,0,1,0,0,0,1,0,5
서울,강남구,부상자수,302,127,284,150,365,144,394,179,445,297
서울,강동구,사고건수,80,37,92,50,100,60,117,57,135,92
서울,강동구,사망자수,1,0,2,2,3,2,2,3,2,1
서울,강동구,부상자수,122,48,134,76,135,88,150,71,177,113
서울,송파구,사고건수,154,68,151,87,182,94,233,129,228,156
서울,송파구,사망자수,2,2,2,2,2,0,3,2,5,3
서울,송파구,부상자수,203,78,193,131,274,133,301,182,333,198
서울,서초구,사고건수,130,73,127,71,158,95,168,115,204,159
서울,서초구,사망자수,1,1,2,1,2,1,2,2,2,1
서울,서초구,부상자수,237,111,192,107,231,140,255,164,305,221
서울,양천구,사고건수,73,43,103,48,104,50,100,50,116,88
서울,양천구,사망자수,2,2,1,1,1,1,0,2,2,0
서울,양천구,부상자수,105,55,140,61,146,64,140,72,146,119
서울,중랑구,사고건수,104,49,109,63,122,78,133,87,143,111
서울,중랑구,사망자수,1,0,2,0,0,1,0,1,1,1
서울,중랑구,부상자수,148,64,143,82,178,101,176,125,201,156
서울,노원구,사고건수,102,63,85,50,115,63,126,81,149,107
서울,노원구,사망자수,4,2,1,1,1,1,2,0,3,1
서울,노원구,부상자수,142,91,132,68,168,90,186,104,223,151
서울,광진구,사고건수,101,40,71,53,83,36,83,51,100,68
서울,광진구,사망자수,1,0,1,2,0,0,0,2,1,3
서울,광진구,부상자수,136,44,104,70,110,51,114,77,141,90
서울,강북구,사고건수,91,69,75,43,96,66,94,51,118,86
서울,강북구,사망자수,0,1,3,2,2,3,0,1,1,3
서울,강북구,부상자수,146,86,98,56,144,76,119,67,151,106
서울,금천구,사고건수,50,32,56,29,45,28,65,24,79,48
서울,금천구,사망자수,1,3,1,1,2,0,2,0,1,0
서울,금천구,부상자수,70,50,79,43,63,41,89,31,101,64
부산,중구,사고건수,30,15,22,15,16,12,37,21,36,27
부산,중구,사망자수,0,3,1,0,0,1,0,1,0,1
부산,중구,부상자수,43,19,37,19,24,12,46,26,50,37
부산,서구,사고건수,28,6,28,22,28,20,42,23,36,34
부산,서구,사망자수,0,1,2,0,0,0,0,1,0,1
부산,서구,부상자수,39,7,39,30,43,28,60,38,54,39
부산,동구,사고건수,48,9,37,25,45,23,62,28,61,40
부산,동구,사망자수,0,0,0,3,1,0,0,1,0,0
부산,동구,부상자수,66,11,49,30,64,32,75,42,82,52
부산,영도구,사고건수,25,7,25,16,24,26,32,20,51,19
부산,영도구,사망자수,0,0,1,1,1,0,0,0,0,1
부산,영도구,부상자수,35,10,34,23,35,30,36,28,61,27
부산,진구,사고건수,85,33,88,59,123,61,109,66,150,78
부산,진구,사망자수,1,0,4,1,3,1,5,2,3,1
부산,진구,부상자수,109,43,125,82,143,78,143,87,199,113
부산,동래구,사고건수,49,30,51,39,81,53,86,32,99,43
