시도,시군구,2014,2015,2016,2017,2018
서울,종로구,451,486,517,627,862
서울,중구,523,546,582,708,960
서울,용산구,474,543,569,738,1075
서울,성동구,454,451,484,743,1070
서울,동대문구,573,629,742,843,1064
서울,성북구,515,545,536,744,1004
서울,도봉구,379,374,386,484,634
서울,은평구,542,509,640,688,943
서울,서대문구,406,394,540,664,831
서울,마포구,576,569,728,1005,1506
서울,강서구,629,660,776,1104,1552
서울,구로구,476,538,555,774,1085
서울,영등포구,682,809,868,1213,1641
서울,동작구,512,531,610,765,1052
서울,관악구,534,559,622,861,1132
서울,강남구,1129,1146,1268,2055,3067
서울,강동구,496,536,599,817,1106
서울,송파구,770,802,919,1336,1841
서울,서초구,854,884,1011,1539,2420
서울,양천구,513,574,667,877,1238
서울,중랑구,443,502,504,692,900
서울,노원구,526,511,635,856,1124
서울,광진구,450,489,542,720,983
서울,강북구,433,375,458,541,638
서울,금천구,322,322,402,578,822
부산,중구,168,179,175,212,282
부산,서구,175,186,198,263,306
부산,동구,222,210,224,294,379
부산,영도구,150,150,159,213,264
부산,진구,569,586,707,840,1103
부산,동래구,391,416,500,591,716
부산,남구,364,373,392,515,630
부산,북구,240,277,311,402,525
부산,해운대구,399,493,530,742,968
부산,사하구,335,380,475,543,743
부산,금정구,330,330,369,515,634
부산,강서구,189,213,235,359,575
부산,연제구,292,300,323,387,525
부산,수영구,301,313,323,446,553
부산,사상구,336,362,440,555,771
부산,기장군,163,221,228,309,464
대구,중구,393,435,466,540,759
대구,동구,640,677,696,923,1260
대구,서구,392,408,424,596,679
대구,남구,326,326,379,486,582
대구,북구,660,791,818,1095,1526
대구,수성구,659,608,643,932,1294
대구,달서구,748,822,856,1226,1750
대구,달성군,208,255,259,409,587
인천,중구,192,197,210,345,521
인천,동구,94,113,95,136,180
인천,남구,560,588,702,899,967
인천,부평구,529,561,663,899,1342
인천,남동구,604,691,761,1131,1621
인천,서구,412,445,517,810,1412
인천,연수구,242,262,276,463,725
인천,계양구,284,292,339,488,775
인천,강화군,141,147,166,217,249
인천,옹진군,13,24,15,25,42
광주,동구,272,286,311,435,517
광주,서구,534,600,628,930,1331
광주,북구,691,723,790,1138,1583
광주,광산구,382,430,533,775,1175
광주,남구,347,379,414,559,783
대전,동구,424,462,434,586,780
대전,중구,512,539,557,739,930
대전,서구,602,663,701,1085,1537
대전,유성구,273,353,443,724,1007
대전,대덕구,272,287,344,487,653
울산,중구,336,317,340,480,642
울산,남구,459,532,561,864,1188
울산,동구,139,141,156,241,277
울산,북구,158,181,216,271,431
울산,울주군,239,274,292,439,585
세종,세종,81,128,198,389,570
경기,수원시,996,1084,1221,1926,2948
경기,성남시,955,1062,1156,1794,2838
경기,의정부시,518,545,559,815,1187
경기,안양시,591,671,761,993,1375
경기,부천시,708,865,889,1400,1932
경기,안산시,612,679,775,1223,1856
경기,평택시,603,688,716,1093,1586
경기,광명시,299,329,387,509,762
경기,구리시,233,284,331,423,721
경기,양주시,276,280,307,451,595
경기,여주시,168,110,125,79,100
경기,화성시,611,618,742,1320,2190
경기,시흥시,457,499,534,877,1370
경기,파주시,467,488,498,777,1151
경기,고양시,1048,1110,1248,1866,2989
경기,광주시,407,448,531,812,1224
경기,연천군,97,99,118,143,160
경기,포천시,289,336,320,443,598
경기,가평군,172,151,168,256,334
경기,양평군,206,301,326,396,432
경기,이천시,269,325,339,535,750
경기,용인시,926,986,1014,1745,2700
경기,안성시,313,296,331,458,706
경기,김포시,449,484,548,849,1256
경기,동두천시,142,176,160,230,255
경기,과천시,72,108,72,132,169
경기,군포시,208,245,259,389,496
경기,남양주시,598,699,816,1102,1563
경기,오산시,206,194,220,396,594
경기,의왕시,151,181,200,286,426
경기,하남시,249,273,324,500,809
강원,춘천시,527,578,639,723,1071
강원,원주시,571,581,649,887,1281
강원,동해시,164,177,165,231,246
강원,강릉시,452,443,534,692,889
강원,속초시,127,158,160,216,292
강원,태백시,65,84,98,125,169
강원,삼척시,115,128,175,189,238
강원,홍천군,130,149,164,189,259
강원,횡성군,75,98,113,144,185
강원,영월군,98,68,76,91,110
강원,평창군,105,90,143,200,154
강원,정선군,62,67,54,86,122
강원,철원군,67,81,88,101,136
강원,화천군,41,35,39,49,51
강원,양구군,31,35,26,47,54
강원,인제군,46,58,64,83,97
강원,고성군,51,65,55,65,68
강원,양양군,68,91,58,108,110
충북,청주시,907,973,973,1308,1801
충북,충주시,416,423,472,603,728
충북,제천시,252,294,307,399,498
충북,청원군,99,41,22,7,12
충북,보은군,80,79,85,126,141
충북,옥천군,110,146,144,200,207
충북,영동군,103,94,105,134,127
충북,진천군,112,132,130,207,308
충북,괴산군,96,86,94,129,196
충북,음성군,172,188,191,279,349
충북,단양군,69,81,53,97,105
충북,증평군,53,62,76,83,120
충남,천안시,754,723,834,1352,2096
충남,아산시,367,384,498,735,983
충남,보령시,248,290,262,330,428
충남,공주시,233,246,261,452,558
충남,서산시,329,329,335,496,628
충남,금산군,157,143,175,175,231
충남,태안군,167,178,171,247,240
충남,연기군,71,50,24,7,2
충남,논산시,302,321,331,437,499
충남,부여군,173,159,145,208,236
충남,서천군,210,189,212,234,231
충남,청양군,81,86,90,97,115
충남,홍성군,219,216,245,324,351
충남,예산군,237,220,234,330,387
충남,당진시,242,217,137,118,138
충남,계룡시,31,35,57,53,74
전북,전주시,1059,1211,1301,1799,2405
전북,군산시,592,623,647,842,1067
전북,정읍시,328,314,346,438,486
전북,남원시,190,182,208,259,301
전북,김제시,229,207,267,312,389
전북,완주군,188,201,268,264,336
전북,진안군,75,64,59,70,75
전북,무주군,50,46,61,79,69
전북,장수군,42,39,45,55,54
전북,임실군,49,77,77,85,90
전북,순창군,78,80,70,78,79
전북,고창군,133,169,148,174,207
전북,부안군,145,186,181,208,229
