시도,시군구,2014 합계,2014,2015 합계,2015,2016 합계,2016,2017 합계,2017,2018 합계,2018,합계,고령운전자 사고합계,5년 고령운전자 사고비율
서울,종로구,5649,451,5626,486,5520,517,5369,627,5512,862,27676,2943,10.63376210435034
서울,중구,6639,523,6396,546,6277,582,5912,708,6204,960,31428,3319,10.56064655721013
서울,용산구,7188,474,6982,543,7314,569,7005,738,7544,1075,36033,3399,9.433019731912413
서울,성동구,7132,454,6754,451,6849,484,7439,743,7980,1070,36154,3202,8.856558057199756
서울,동대문구,6725,573,6604,629,6830,742,6440,843,6720,1064,33319,3851,11.55796992706864
서울,성북구,6759,515,6618,545,6551,536,6431,744,6696,1004,33055,3344,10.116472545757071
서울,도봉구,4133,379,3973,374,4093,386,4245,484,4176,634,20620,2257,10.94568380213385
서울,은평구,5774,542,5583,509,5857,640,5645,688,6015,943,28874,3322,11.50516035187366
서울,서대문구,5084,406,4963,394,5346,540,5308,664,5384,831,26085,2835,10.868315123634273
서울,마포구,10147,576,9967,569,10507,728,10405,1005,11479,1506,52505,4384,8.349680982763546
서울,강서구,9626,629,9811,660,10163,776,10793,1104,11609,1552,52002,4721,9.078496980885351
서울,구로구,7336,476,7475,538,7763,555,7539,774,8158,1085,38271,3428,8.957173839199394
서울,영등포구,10866,682,11302,809,11482,868,11431,1213,12166,1641,57247,5213,9.106154034272539
서울,동작구,7017,512,6793,531,7197,610,7130,765,7719,1052,35856,3470,9.677599286033022
서울,관악구,7097,534,7136,559,7205,622,7467,861,7968,1132,36873,3708,10.056138638027825
서울,강남구,21350,1129,21191,1146,21040,1268,20997,2055,22645,3067,107223,8665,8.081288529513257
서울,강동구,7007,496,6586,536,6822,599,7087,817,7507,1106,35009,3554,10.151675283498529
서울,송파구,11774,770,11676,802,12000,919,12670,1336,13474,1841,61594,5668,9.202195018995358
서울,서초구,15925,854,15596,884,16429,1011,16796,1539,17931,2420,82677,6708,8.113501941289597
서울,양천구,8425,513,8504,574,8499,667,8699,877,9289,1238,43416,3869,8.911461212456237
서울,중랑구,5724,443,5802,502,5562,504,5796,692,6152,900,29036,3041,10.473205675712908
서울,노원구,7804,526,7658,511,7745,635,7531,856,7886,1124,38624,3652,9.45526097763049
서울,광진구,7082,450,6571,489,6517,542,6362,720,6939,983,33471,3184,9.512712497385795
서울,강북구,4429,433,4208,375,4191,458,4291,541,4373,638,21492,2445,11.376326074818536
서울,금천구,5031,322,5120,322,5438,402,5525,578,6072,822,27186,2446,8.997278010740823
부산,중구,1845,168,1752,179,1791,175,1622,212,1766,282,8776,1016,11.577028258887875
부산,서구,1879,175,1971,186,1863,198,2038,263,1995,306,9746,1128,11.573979068335728
부산,동구,2443,222,2350,210,2194,224,2241,294,2505,379,11733,1329,11.327026335975454
부산,영도구,1430,150,1432,150,1378,159,1443,213,1404,264,7087,936,13.207280936926768
부산,진구,7663,569,7508,586,7791,707,8016,840,8362,1103,39340,3805,9.67208947635994
부산,동래구,5168,391,5255,416,5086,500,5187,591,5150,716,25846,2614,10.113750677087364
부산,남구,4876,364,4844,373,4447,392,4430,515,4608,630,23205,2274,9.79961215255333
부산,북구,4120,240,3973,277,4281,311,4176,402,4229,525,20779,1755,8.446027239039415
부산,해운대구,6982,399,6997,493,7296,530,7460,742,7471,968,36206,3132,8.650499917140806
부산,사하구,5422,335,5462,380,5584,475,5550,543,5971,743,27989,2476,8.84633248776305
부산,금정구,3987,330,3984,330,4117,369,4230,515,4551,634,20869,2178,10.43653265609277
부산,강서구,4658,189,4572,213,4784,235,4658,359,5271,575,23943,1571,6.561416697991063
부산,연제구,3648,292,3635,300,3591,323,3779,387,3789,525,18442,1827,9.906734627480752
부산,수영구,4028,301,3938,313,3925,323,4035,446,4264,553,20190,1936,9.588905398712235
부산,사상구,5875,336,5825,362,5751,440,5924,555,6169,771,29544,2464,8.34010289737341
부산,기장군,2636,163,2727,221,2961,228,3095,309,3523,464,14942,1385,9.269174140008031
대구,중구,5082,393,4959,435,5024,466,4917,540,5270,759,25252,2593,10.268493584666562
대구,동구,8175,640,8471,677,8239,696,8279,923,8933,1260,42097,4196,9.967456113262228
대구,서구,5574,392,5680,408,5401,424,5444,596,5401,679,27500,2499,9.087272727272728
대구,남구,3787,326,3839,326,4022,379,3932,486,4190,582,19770,2099,10.617096611026808
대구,북구,11435,660,11426,791,11808,818,11635,1095,12486,1526,58790,4890,8.317741112434089
대구,수성구,9796,659,9393,608,9432,643,9436,932,10106,1294,48163,4136,8.58750493117123
대구,달서구,14387,748,14488,822,14706,856,14659,1226,15384,1750,73624,5402,7.337281321308269
대구,달성군,3524,208,3384,255,3735,259,4246,409,4779,587,19668,1718,8.735001016880211
인천,중구,3536,192,3391,197,3600,210,3729,345,4161,521,18417,1465,7.954607156431558
인천,동구,1376,94,1261,113,1375,95,1339,136,1434,180,6785,618,9.108327192336036
인천,남구,8929,560,8871,588,9359,702,9304,899,7343,967,43806,3716,8.482856229740218
인천,부평구,10128,529,10075,561,10572,663,10143,899,11124,1342,52042,3994,7.674570539179894
인천,남동구,13410,604,12701,691,13682,761,13660,1131,14574,1621,68027,4808,7.067781910123921
인천,서구,10454,412,9682,445,10764,517,10890,810,12748,1412,54538,3596,6.593567787597639
인천,연수구,5224,242,5175,262,5473,276,5732,463,6521,725,28125,1968,6.997333333333334
인천,계양구,6166,284,5874,292,6510,339,6386,488,7168,775,32104,2178,6.7842013456267125
인천,강화군,1145,141,1047,147,1075,166,1304,217,1325,249,5896,920,15.60379918588874
인천,옹진군,163,13,172,24,167,15,211,25,216,42,929,119,12.809472551130247
광주,동구,3126,272,3091,286,3022,311,3165,435,3217,517,15621,1821,11.657384290378337
광주,서구,10329,534,10756,600,10586,628,10475,930,10950,1331,53096,4023,7.576841946662649
광주,북구,11391,691,11119,723,11138,790,11233,1138,12156,1583,57037,4925,8.634745866718095
광주,광산구,9505,382,9825,430,10186,533,10324,775,11122,1175,50962,3295,6.465601820964641
광주,남구,4709,347,4870,379,4628,414,4623,559,4972,783,23802,2482,10.427695151667928
대전,동구,5238,424,5051,462,4803,434,5049,586,5482,780,25623,2686,10.482769386878976
대전,중구,6239,512,5882,539,5970,557,5944,739,6269,930,30304,3277,10.813753959873285
대전,서구,11802,602,11682,663,12027,701,12315,1085,13469,1537,61295,4588,7.485112978220084
대전,유성구,7350,273,7950,353,8184,443,8866,724,9603,1007,41953,2800,6.674135341930255
대전,대덕구,5424,272,4975,287,5349,344,5592,487,5875,653,27215,2043,7.5068895829505795
울산,중구,4472,336,4619,317,4662,340,4837,480,4683,642,23273,2115,9.087784127529755
울산,남구,9825,459,10028,532,9911,561,10189,864,10602,1188,50555,3604,7.128869548017011
울산,동구,3472,139,3134,141,2663,156,2555,241,2453,277,14277,954,6.682076066400504
울산,북구,4341,158,4301,181,4090,216,4116,271,4369,431,21217,1257,5.924494509120045
울산,울주군,4510,239,4646,274,4509,292,4619,439,4812,585,23096,1829,7.919120193972982
세종,세종,1043,81,2070,128,3450,198,4178,389,4626,570,15367,1366,8.889178108934729
경기,수원시,22532,996,22745,1084,23706,1221,24387,1926,27229,2948,120599,8175,6.778663172994801
경기,성남시,19607,955,19442,1062,20495,1156,20999,1794,23106,2838,103649,7805,7.530222192206389
경기,의정부시,7839,518,7986,545,8035,559,8162,815,9518,1187,41540,3624,8.724121328839672
경기,안양시,10948,591,11184,671,11090,761,10628,993,11173,1375,55023,4391,7.980299147629173
경기,부천시,14967,708,15312,865,14843,889,16383,1400,16872,1932,78377,5794,7.392474833178101
경기,안산시,17423,612,17794,679,18022,775,18019,1223,19286,1856,90544,5145,5.682320197914826
경기,평택시,10813,603,10711,688,12515,716,13814,1093,14862,1586,62715,4686,7.471896675436499
경기,광명시,5066,299,5364,329,5698,387,5548,509,6203,762,27879,2286,8.199720219520069
경기,구리시,4508,233,4544,284,4767,331,5024,423,5664,721,24507,1992,8.128289876361857
경기,양주시,4424,276,4089,280,4194,307,4258,451,4942,595,21907,1909,8.714109645318848
경기,여주시,2493,168,1701,110,891,125,615,79,646,100,6346,582,9.171131421367791
경기,화성시,13624,611,14241,618,16052,742,17620,1320,19989,2190,81526,5481,6.723008610749945
경기,시흥시,11475,457,11671,499,12089,534,12815,877,14226,1370,62276,3737,6.000706532211446
경기,파주시,7310,467,7306,488,7717,498,8052,777,9036,1151,39421,3381,8.576646964815707
경기,고양시,18994,1048,18246,1110,19682,1248,21842,1866,24947,2989,103711,8261,7.965403862656806
경기,광주시,6782,407,6836,448,8073,531,8663,812,9809,1224,40163,3422,8.520279859572243
경기,연천군,730,97,737,99,791,118,883,143,810,160,3951,617,15.616299670969374
경기,포천시,4317,289,4264,336,4278,320,3973,443,4343,598,21175,1986,9.378984651711924
경기,가평군,2106,172,2098,151,2330,168,2399,256,2389,334,11322,1081,9.547783077194842
경기,양평군,2178,206,2438,301,2595,326,2592,396,2485,432,12288,1661,13.517252604166666
경기,이천시,4951,269,4897,325,5228,339,5399,535,5855,750,26330,2218,8.423851120394987
경기,용인시,17266,926,18146,986,18670,1014,19764,1745,22858,2700,96704,7371,7.622228656518862
경기,안성시,5114,313,4870,296,5031,331,5227,458,5823,706,26065,2104,8.07212737387301
경기,김포시,7351,449,7619,484,8237,548,8548,849,9889,1256,41644,3586,8.611084429929882
