,도시,2014,2015,2016,2017,2018,합계,고령운전자 사고합계,5년 고령운전자 사고비율,2014년 고령운전자 사고비율,2015년 고령운전자 사고비율,2016년 고령운전자 사고비율,2017년 고령운전자 사고비율,2018년 고령운전자 사고비율
0,서울종로구,451,486,517,627,862,27676,2943,10.63,7.98,8.64,9.37,11.68,15.64
1,서울중구,523,546,582,708,960,31428,3319,10.56,7.88,8.54,9.27,11.98,15.47
2,서울용산구,474,543,569,738,1075,36033,3399,9.43,6.59,7.78,7.78,10.54,14.25
3,서울성동구,454,451,484,743,1070,36154,3202,8.86,6.37,6.68,7.07,9.99,13.41
4,서울동대문구,573,629,742,843,1064,33319,3851,11.56,8.52,9.52,10.86,13.09,15.83
5,서울성북구,515,545,536,744,1004,33055,3344,10.12,7.62,8.24,8.18,11.57,14.99
6,서울도봉구,379,374,386,484,634,20620,2257,10.95,9.17,9.41,9.43,11.4,15.18
7,서울은평구,542,509,640,688,943,28874,3322,11.51,9.39,9.12,10.93,12.19,15.68
8,서울서대문구,406,394,540,664,831,26085,2835,10.87,7.99,7.94,10.1,12.51,15.43
9,서울마포구,576,569,728,1005,1506,52505,4384,8.35,5.68,5.71,6.93,9.66,13.12
10,서울강서구,629,660,776,1104,1552,52002,4721,9.08,6.53,6.73,7.64,10.23,13.37
11,서울구로구,476,538,555,774,1085,38271,3428,8.96,6.49,7.2,7.15,10.27,13.3
12,서울영등포구,682,809,868,1213,1641,57247,5213,9.11,6.28,7.16,7.56,10.61,13.49
13,서울동작구,512,531,610,765,1052,35856,3470,9.68,7.3,7.82,8.48,10.73,13.63
14,서울관악구,534,559,622,861,1132,36873,3708,10.06,7.52,7.83,8.63,11.53,14.21
15,서울강남구,1129,1146,1268,2055,3067,107223,8665,8.08,5.29,5.41,6.03,9.79,13.54
16,서울강동구,496,536,599,817,1106,35009,3554,10.15,7.08,8.14,8.78,11.53,14.73
17,서울송파구,770,802,919,1336,1841,61594,5668,9.2,6.54,6.87,7.66,10.54,13.66
18,서울서초구,854,884,1011,1539,2420,82677,6708,8.11,5.36,5.67,6.15,9.16,13.5
19,서울양천구,513,574,667,877,1238,43416,3869,8.91,6.09,6.75,7.85,10.08,13.33
20,서울중랑구,443,502,504,692,900,29036,3041,10.47,7.74,8.65,9.06,11.94,14.63
21,서울노원구,526,511,635,856,1124,38624,3652,9.46,6.74,6.67,8.2,11.37,14.25
22,서울광진구,450,489,542,720,983,33471,3184,9.51,6.35,7.44,8.32,11.32,14.17
23,서울강북구,433,375,458,541,638,21492,2445,11.38,9.78,8.91,10.93,12.61,14.59
24,서울금천구,322,322,402,578,822,27186,2446,9,6.4,6.29,7.39,10.46,13.54
25,부산중구,168,179,175,212,282,8776,1016,11.58,9.11,10.22,9.77,13.07,15.97
26,부산서구,175,186,198,263,306,9746,1128,11.57,9.31,9.44,10.63,12.9,15.34
27,부산동구,222,210,224,294,379,11733,1329,11.33,9.09,8.94,10.21,13.12,15.13
28,부산영도구,150,150,159,213,264,7087,936,13.21,10.49,10.47,11.54,14.76,18.8
29,부산진구,569,586,707,840,1103,39340,3805,9.67,7.43,7.81,9.07,10.48,13.19
30,부산동래구,391,416,500,591,716,25846,2614,10.11,7.57,7.92,9.83,11.39,13.9
31,부산남구,364,373,392,515,630,23205,2274,9.8,7.47,7.7,8.81,11.63,13.67
32,부산북구,240,277,311,402,525,20779,1755,8.45,5.83,6.97,7.26,9.63,12.41
33,부산해운대구,399,493,530,742,968,36206,3132,8.65,5.71,7.05,7.26,9.95,12.96
34,부산사하구,335,380,475,543,743,27989,2476,8.85,6.18,6.96,8.51,9.78,12.44
35,부산금정구,330,330,369,515,634,20869,2178,10.44,8.28,8.28,8.96,12.17,13.93
36,부산강서구,189,213,235,359,575,23943,1571,6.56,4.06,4.66,4.91,7.71,10.91
37,부산연제구,292,300,323,387,525,18442,1827,9.91,8,8.25,8.99,10.24,13.86
38,부산수영구,301,313,323,446,553,20190,1936,9.59,7.47,7.95,8.23,11.05,12.97
39,부산사상구,336,362,440,555,771,29544,2464,8.34,5.72,6.21,7.65,9.37,12.5
40,부산기장군,163,221,228,309,464,14942,1385,9.27,6.18,8.1,7.7,9.98,13.17
41,대구중구,393,435,466,540,759,25252,2593,10.27,7.73,8.77,9.28,10.98,14.4
42,대구동구,640,677,696,923,1260,42097,4196,9.97,7.83,7.99,8.45,11.15,14.11
43,대구서구,392,408,424,596,679,27500,2499,9.09,7.03,7.18,7.85,10.95,12.57
44,대구남구,326,326,379,486,582,19770,2099,10.62,8.61,8.49,9.42,12.36,13.89
45,대구북구,660,791,818,1095,1526,58790,4890,8.32,5.77,6.92,6.93,9.41,12.22
46,대구수성구,659,608,643,932,1294,48163,4136,8.59,6.73,6.47,6.82,9.88,12.8
47,대구달서구,748,822,856,1226,1750,73624,5402,7.34,5.2,5.67,5.82,8.36,11.38
48,대구달성군,208,255,259,409,587,19668,1718,8.74,5.9,7.54,6.93,9.63,12.28
49,인천중구,192,197,210,345,521,18417,1465,7.95,5.43,5.81,5.83,9.25,12.52
50,인천동구,94,113,95,136,180,6785,618,9.11,6.83,8.96,6.91,10.16,12.55
51,인천남구,560,588,702,899,967,43806,3716,8.48,6.27,6.63,7.5,9.66,13.17
52,인천부평구,529,561,663,899,1342,52042,3994,7.67,5.22,5.57,6.27,8.86,12.06
53,인천남동구,604,691,761,1131,1621,68027,4808,7.07,4.5,5.44,5.56,8.28,11.12
54,인천서구,412,445,517,810,1412,54538,3596,6.59,3.94,4.6,4.8,7.44,11.08
55,인천연수구,242,262,276,463,725,28125,1968,7,4.63,5.06,5.04,8.08,11.12
56,인천계양구,284,292,339,488,775,32104,2178,6.78,4.61,4.97,5.21,7.64,10.81
57,인천강화군,141,147,166,217,249,5896,920,15.6,12.31,14.04,15.44,16.64,18.79
58,인천옹진군,13,24,15,25,42,929,119,12.81,7.98,13.95,8.98,11.85,19.44
59,광주동구,272,286,311,435,517,15621,1821,11.66,8.7,9.25,10.29,13.74,16.07
60,광주서구,534,600,628,930,1331,53096,4023,7.58,5.17,5.58,5.93,8.88,12.16
61,광주북구,691,723,790,1138,1583,57037,4925,8.63,6.07,6.5,7.09,10.13,13.02
62,광주광산구,382,430,533,775,1175,50962,3295,6.47,4.02,4.38,5.23,7.51,10.56
63,광주남구,347,379,414,559,783,23802,2482,10.43,7.37,7.78,8.95,12.09,15.75
64,대전동구,424,462,434,586,780,25623,2686,10.48,8.09,9.15,9.04,11.61,14.23
65,대전중구,512,539,557,739,930,30304,3277,10.81,8.21,9.16,9.33,12.43,14.83
66,대전서구,602,663,701,1085,1537,61295,4588,7.49,5.1,5.68,5.83,8.81,11.41
67,대전유성구,273,353,443,724,1007,41953,2800,6.67,3.71,4.44,5.41,8.17,10.49
68,대전대덕구,272,287,344,487,653,27215,2043,7.51,5.01,5.77,6.43,8.71,11.11
69,울산중구,336,317,340,480,642,23273,2115,9.09,7.51,6.86,7.29,9.92,13.71
70,울산남구,459,532,561,864,1188,50555,3604,7.13,4.67,5.31,5.66,8.48,11.21
71,울산동구,139,141,156,241,277,14277,954,6.68,4,4.5,5.86,9.43,11.29
72,울산북구,158,181,216,271,431,21217,1257,5.92,3.64,4.21,5.28,6.58,9.86
73,울산울주군,239,274,292,439,585,23096,1829,7.92,5.3,5.9,6.48,9.5,12.16
74,세종세종,81,128,198,389,570,15367,1366,8.89,7.77,6.18,5.74,9.31,12.32
75,경기수원시,996,1084,1221,1926,2948,120599,8175,6.78,4.42,4.77,5.15,7.9,10.83
76,경기성남시,955,1062,1156,1794,2838,103649,7805,7.53,4.87,5.46,5.64,8.54,12.28
77,경기의정부시,518,545,559,815,1187,41540,3624,8.72,6.61,6.82,6.96,9.99,12.47
78,경기안양시,591,671,761,993,1375,55023,4391,7.98,5.4,6,6.86,9.34,12.31
79,경기부천시,708,865,889,1400,1932,78377,5794,7.39,4.73,5.65,5.99,8.55,11.45
80,경기안산시,612,679,775,1223,1856,90544,5145,5.68,3.51,3.82,4.3,6.79,9.62
81,경기평택시,603,688,716,1093,1586,62715,4686,7.47,5.58,6.42,5.72,7.91,10.67
82,경기광명시,299,329,387,509,762,27879,2286,8.2,5.9,6.13,6.79,9.17,12.28
83,경기구리시,233,284,331,423,721,24507,1992,8.13,5.17,6.25,6.94,8.42,12.73
84,경기양주시,276,280,307,451,595,21907,1909,8.71,6.24,6.85,7.32,10.59,12.04
85,경기여주시,168,110,125,79,100,6346,582,9.17,6.74,6.47,14.03,12.85,15.48
86,경기화성시,611,618,742,1320,2190,81526,5481,6.72,4.48,4.34,4.62,7.49,10.96
87,경기시흥시,457,499,534,877,1370,62276,3737,6,3.98,4.28,4.42,6.84,9.63
88,경기파주시,467,488,498,777,1151,39421,3381,8.58,6.39,6.68,6.45,9.65,12.74
89,경기고양시,1048,1110,1248,1866,2989,103711,8261,7.97,5.52,6.08,6.34,8.54,11.98
90,경기광주시,407,448,531,812,1224,40163,3422,8.52,6,6.55,6.58,9.37,12.48
91,경기연천군,97,99,118,143,160,3951,617,15.62,13.29,13.43,14.92,16.19,19.75
92,경기포천시,289,336,320,443,598,21175,1986,9.38,6.69,7.88,7.48,11.15,13.77
93,경기가평군,172,151,168,256,334,11322,1081,9.55,8.17,7.2,7.21,10.67,13.98
94,경기양평군,206,301,326,396,432,12288,1661,13.52,9.46,12.35,12.56,15.28,17.38
95,경기이천시,269,325,339,535,750,26330,2218,8.42,5.43,6.64,6.48,9.91,12.81
96,경기용인시,926,986,1014,1745,2700,96704,7371,7.62,5.36,5.43,5.43,8.83,11.81
97,경기안성시,313,296,331,458,706,26065,2104,8.07,6.12,6.08,6.58,8.76,12.12
98,경기김포시,449,484,548,849,1256,41644,3586,8.61,6.11,6.35,6.65,9.93,12.7
99,경기동두천시,142,176,160,230,255,8789,963,10.96,8.36,10.24,9.02,13.42,13.53
100,경기과천시,72,108,72,132,169,7707,553,7.18,4.56,6.37,4.72,9.13,11.55
101,경기군포시,208,245,259,389,496,21100,1597,7.57,5.38,5.79,6.05,9.12,11.14
102,경기남양주시,598,699,816,1102,1563,56038,4778,8.53,5.77,6.6,7.03,9.81,12.79
103,경기오산시,206,194,220,396,594,24881,1610,6.47,4.6,4.57,4.62,7.29,9.96
104,경기의왕시,151,181,200,286,426,17154,1244,7.25,4.96,5.2,5.85,8.61,10.94
105,경기하남시,249,273,324,500,809,23580,2155,9.14,6.75,6.93,6.93,9.6,13.34
106,강원춘천시,527,578,639,723,1071,34825,3538,10.16,7.75,8.81,9.47,10.34,13.86
107,강원원주시,571,581,649,887,1281,45900,3969,8.65,6.31,6.64,6.84,9.91,13.25
108,강원동해시,164,177,165,231,246,8764,983,11.22,9.06,9.83,9.67,12.84,14.94
109,강원강릉시,452,443,534,692,889,24953,3010,12.06,9.17,9.57,10.82,13.49,16.66
110,강원속초시,127,158,160,216,292,9219,953,10.34,7.09,8.97,9.09,11.6,14.29
111,강원태백시,65,84,98,125,169,3702,541,14.61,9.29,11.73,13.24,17.46,20.36
112,강원삼척시,115,128,175,189,238,5896,845,14.33,9.4,10.85,14.3,17.24,20.29
113,강원홍천군,130,149,164,189,259,6994,891,12.74,9.62,11.39,11.14,13.39,17.86
114,강원횡성군,75,98,113,144,185,5300,615,11.6,7.44,9.54,9.3,13.42,18.94
115,강원영월군,98,68,76,91,110,2823,443,15.69,16.9,12.62,13.31,15.99,19.5
116,강원평창군,105,90,143,200,154,6879,692,10.06,7.47,6.48,9.68,13.36,13.87
117,강원정선군,62,67,54,86,122,3395,391,11.52,9.34,9.75,8.53,12.16,17.33
118,강원철원군,67,81,88,101,136,2951,473,16.03,11.63,13.97,15.02,17.35,21.69
119,강원화천군,41,35,39,49,51,1536,215,14,12.77,13.36,12.46,17.25,14.33
120,강원양구군,31,35,26,47,54,1427,193,13.52,11.57,11.99,9.85,15.99,17.48
121,강원인제군,46,58,64,83,97,3383,348,10.29,7.69,8.27,8.54,11.66,15.57
122,강원고성군,51,65,55,65,68,2402,304,12.66,9.71,13.86,11.68,13.57,14.85
123,강원양양군,68,91,58,108,110,3104,435,14.01,11.72,15.8,10,16.93,15.07
124,충북청주시,907,973,973,1308,1801,77859,5962,7.66,5.15,6.28,6.81,9.15,11.13
125,충북충주시,416,423,472,603,728,25081,2642,10.53,8.93,8.86,9.42,11.66,13.33
126,충북제천시,252,294,307,399,498,14958,1750,11.7,8.19,9.97,10.72,13.46,16.05
127,충북청원군,99,41,22,7,12,3247,181,5.57,5.66,5.19,6.11,4.55,6.22
128,충북보은군,80,79,85,126,141,2926,511,17.46,16.49,15.67,15.57,19.15,19.24
129,충북옥천군,110,146,144,200,207,5309,807,15.2,11.07,14.37,12.97,18.4,18.78
130,충북영동군,103,94,105,134,127,3276,563,17.19,15.12,14.78,15.93,19.71,20.48
131,충북진천군,112,132,130,207,308,9764,889,9.1,7.19,7.55,7,9.76,12.41
132,충북괴산군,96,86,94,129,196,4324,601,13.9,14.16,11.23,12.55,13.78,16.4
133,충북음성군,172,188,191,279,349,12201,1179,9.66,7.57,7.8,8.02,11.41,12.97
134,충북단양군,69,81,53,97,105,2745,405,14.75,14.17,15.2,9.93,16.09,17.86
135,충북증평군,53,62,76,83,120,3429,394,11.49,7.93,9.05,11.23,12.41,16.44
